year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,屏東縣,來義鄉,屏東縣|來義鄉,民進黨,DPP,賴清德,0.150500,678,4505,0.746200
2024,屏東縣,來義鄉,屏東縣|來義鄉,國民黨,KMT,侯友宜,0.598900,2698,4505,0.746200
2024,屏東縣,來義鄉,屏東縣|來義鄉,民眾黨,TPP,柯文哲,0.250600,1129,4505,0.746200
2024,屏東縣,東港鎮,屏東縣|東港鎮,民進黨,DPP,賴清德,0.528800,14270,26986,0.711800
2024,屏東縣,東港鎮,屏東縣|東港鎮,國民黨,KMT,侯友宜,0.252400,6811,26986,0.711800
2024,屏東縣,東港鎮,屏東縣|東港鎮,民眾黨,TPP,柯文哲,0.218800,5905,26986,0.711800
2024,屏東縣,林邊鄉,屏東縣|林邊鄉,民進黨,DPP,賴清德,0.558500,5745,10286,0.716600
2024,屏東縣,林邊鄉,屏東縣|林邊鄉,國民黨,KMT,侯友宜,0.266800,2744,10286,0.716600
2024,屏東縣,林邊鄉,屏東縣|林邊鄉,民眾黨,TPP,柯文哲,0.174700,1797,10286,0.716600
2024,屏東縣,佳冬鄉,屏東縣|佳冬鄉,民進黨,DPP,賴清德,0.549900,5962,10842,0.690300
2024,屏東縣,佳冬鄉,屏東縣|佳冬鄉,國民黨,KMT,侯友宜,0.267800,2903,10842,0.690300
2024,屏東縣,佳冬鄉,屏東縣|佳冬鄉,民眾黨,TPP,柯文哲,0.182300,1976,10842,0.690300
2024,屏東縣,枋寮鄉,屏東縣|枋寮鄉,民進黨,DPP,賴清德,0.502900,6794,13509,0.681200
